ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
124,51655-65-3,C=C(CCCC)CCCCCCCC,2-butyl-1-decene,--,-0.97,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
125,52663-59-9,Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,"2,2',3,4-Tetrachlorobiphenyl",PCB 41,0.22,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
126,52663-61-3,Clc1ccc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,"2,2',3,5,5'-Pentachlorobiphenyl",PCB 92,0.74,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.35
127,52663-65-7,Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",PCB 176,0.77,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.45
128,52663-72-6,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,"2,3',4,4',5,5'-Hexachlorobiphenyl",PCB 167,0.73,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.40
129,52663-74-8,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",PCB 172,0.85,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.45
130,52663-77-1,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",PCB 208,0.73,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.25
131,52663-79-3,Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",PCB 207,0.80,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.20
132,526-73-8,Cc1cccc(C)c1C,"1,3,5-Trimethylbenzene",--,-1.60,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
133,52712-05-7,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,"2,2',3,4,5,5',6-Heptachlorobiphenyl",PCB 185,0.85,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.40
134,52886-35-8,CCCCCCC1CCCC(C)C1,3-methyl-1-hexyl cyclohexane,--,-1.18,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
135,5323-56-8,CC(C)c1ccc2c(c1)CCC1C(C)CCCC21C,Dehydroabietine,--,-1.28,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
136,5325-97-3,c1cc2c(c3c1CCCC3)CCCC2,"1,2,3,4,5,6,7,8-octahydrophenanthrene",--,-0.89,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
137,53-70-3,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,"Dibenzo[a,h]anthracene",--,-2.15,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
138,541-01-5,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,Hexadecamethylheptasiloxane,MD5M,-1.30,Poecilia reticulata,Guppy,"L, L",2,0.01
139,556-69-4,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,Octadecamethyloctasiloxane,MD6M,-0.96,Poecilia reticulata,Guppy,"L, L",2,0.05
140,556-70-7,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,Docosamethyldecasiloxane,MD8M,-1.35,Poecilia reticulata,Guppy,"L, L",2,0.02
141,55702-45-9,Clc1ccc(Cl)c(-c2ccccc2)c1Cl,"2,3,6-Trichlorobiphenyl",PCB 24,0.47,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.15
142,55712-37-3,Clc1cccc(-c2ccc(Cl)cc2Cl)c1,"2,3',4-Trichlorobiphenyl",PCB 25,0.52,Oncorhynchus mykiss,Rainbow trout,"M, L",2,0.30
143,5617-41-4,CCCCCCCC1CCCCC1,n-heptyl cyclohexane,--,-1.70,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
144,56-49-5,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,3-methylcholanthene,--,-1.52,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
145,56558-16-8,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,"2,2',4,6,6'-Pentachlorobiphenyl",PCB 104,0.39,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
146,5707-44-8,CCc1ccc(-c2ccccc2)cc1,"4-ethyl-1,1'-biphenyl",--,-1.74,Oncorhynchus mykiss,Rainbow trout,"H, H",2,0.01
147,57465-28-8,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,"3,3',4,4',5-Pentachlorobiphenyl",PCB 126,0.58,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
148,581-40-8,Cc1cc2ccccc2cc1C,"2,3-Dimethylnaphthalene",--,-1.92,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
149,60207-90-1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,Propiconazole,--,-2.22,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
150,608-93-5,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,Pentachlorobenzene,"--, QCB",-0.59,"Poecilia reticulata, Cyprinus carpio","Guppy, Common carp","L, H",2,0.15
151,6117-97-1,CCCCCCCCC(C)CCC,4-methyl dodecane,--,-1.11,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
152,62338-09-4,CCCCCCCC(C)C(C)(C)C,"2,2,3-Trimethyl decane",--,-1.18,Oncorhynchus mykiss,Rainbow trout,"M, H",2,0.03
153,629-50-5,CCCCCCCCCCCCC,n-Tridecane,--,-0.57,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
154,629-59-4,CCCCCCCCCCCCCC,n-Tetradecane,--,0.03,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
155,629-73-2,C=CCCCCCCCCCCCCCC,1-Hexadecene,--,0.18,Oncorhynchus mykiss,Rainbow trout,"M, H",2,0.39
156,63376-64-7,Cc1cc(C)cc(CCc2cc(C)cc(C)c2)c1,"3,3',5,5' Tetramethyl bibenzyl",--,-0.38,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
157,66246-88-6,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,"1H-1,2,4-Triazole, 1-[2-(2,4-Dichlorophenyl)pentyl]-",--,-2.00,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
158,67028-18-6,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,"1,2,3,7-T4CDD",--,-1.13,"Salmo gairdneri, Pimephales promelas","Rainbow trout, Fathead minnow","L, L",2,0.02
159,67129-08-2,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,Metazachlor,--,-4.49,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
160,68194-04-7,Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1,"2,2',4,6'-Tetrachlorobiphenyl",PCB 51,-0.85,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
161,68194-05-8,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,"2,2',3,4',6-Pentachlorobiphenyl",PCB 91,0.30,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
